,comment,author,author_url,published_at
4,israel doesnt want abbas control gaza agree israel place strongman muslim brotherhood,@leonaltmark2852,http://www.youtube.com/channel/UCvWFpANMKcX-05-L2jU0fmw,2023-12-09T17:27:35Z
6,god bless israelgod bless citizensamen,@josephobafemi6043,http://www.youtube.com/channel/UC2Yi2bUVypWRXmhxtTqJv-w,2023-12-09T13:19:29Z
7,sorry god protect full heaven hand amen israelfoldedhandsisrael,@user-qn9vw6il6c,http://www.youtube.com/channel/UCfzsNEj_2hBWrym7OQVRcvw,2023-12-09T12:53:50Z
8,indexpointinguples terroristes israelelizabeth europens job ivanka grinningfacewithsweatkat kammack liberiaredheartma baleine jeu pas avec lamour facewithopenmouthkat catherine medliton personwithveilfaceblowingakissunitedkingdombanani jeu pas avechighvoltage llectricitpensivefaceflyingsaucermantelpiececlockglobeshowingeuropeafricamodithumbsupindexpointinguphundredpointsrocket,@AbdelghaniRougaa,http://www.youtube.com/channel/UCWgF332FxVS84KCuGqiBkzw,2023-12-09T11:50:49Z
9,manraisinghandmodifoldedhandsisraelliberiathumbsupahmad ajamiindexpointingupin amsakaha inaho rafor rahimfoldedhandsnatanyahoindexpointingupthumbsuplam yaol inaho ntar bno chadadmoroccokhalid bni lwalidliberiabrad pitt unitedkingdomjulia robertssmilingfacewithheartspoolballjokermantelpiececlockcandlefirehundredpointsrocketrocketrocketrocketrocketrocketrocketrocketrocketindexpointingup,@AbdelghaniRougaa,http://www.youtube.com/channel/UCWgF332FxVS84KCuGqiBkzw,2023-12-09T11:50:21Z
10,khamascryingface,@kingkombi2868,http://www.youtube.com/channel/UCAYYtsxq01vBASC4MPfs5ig,2023-12-09T10:20:24Z
11,countries declared palestines nation freedom yet giving statement,@Candra7208,http://www.youtube.com/channel/UCfN-0UmXzdZAJjCHPl-DBVQ,2023-12-09T10:10:51Z
12,happy hannukah question according rabbi rebbe mentored bibi predicted bibi would israel asked coming messiah rebbe replied jews deeds goodness kindness messiah would reveal question massacre palestinian children gaza constitute deeds goodness kindness good rebbe talking know also said bibi would hand power true messiah well hope happens sooner later messiah needed thought jews smarter think outdone nazis war crimes humanity shame,@omarhaleem3659,http://www.youtube.com/channel/UCqPfo-KRzZCedAE7fUNNQFA,2023-12-09T07:26:55Z
13,love palestine redheart,@AnisKhan-lb8oh,http://www.youtube.com/channel/UCFc9BjkcatBKUbbPjM8bk8Q,2023-12-09T05:19:30Z
15,wish happy passover jewish friends around world hope enjoy holiday safety good health celebrate day victory darkness world live peace long flag israel raised fluttering peace,@jackter2566,http://www.youtube.com/channel/UCvdwKjR-nh2yI3wh4jiyI0g,2023-12-09T02:59:42Z
16,israelisraelisraelisraelredheartredheartredheartredheartunitedkingdomunitedkingdomunitedkingdomunitedkingdom,@marcvg1625,http://www.youtube.com/channel/UClro2eArzQ4Ov1yuOk0uweQ,2023-12-08T23:13:59Z
19,stand palestine form morocco idk found video recommendation,@Ben.the.hedgehog5661,http://www.youtube.com/channel/UCvLldLm-lZfI1xHTQR5LIqQ,2023-12-08T16:38:03Z
20,idf teroris,@merpatikita9760,http://www.youtube.com/channel/UC6lZJ9h-rXKy8SWTUq3HTpg,2023-12-08T16:36:07Z
21,israelgod always protects line winner,@user-fl9xh9vz8w,http://www.youtube.com/channel/UC-aZDtIe4jLjMFGZaLhPFnQ,2023-12-08T16:33:05Z
22,israeli government would mind business leave palestine alone wouldnt happening facewithopenmouth,@lorrainelowe3474,http://www.youtube.com/channel/UCTzJpPpy4H4RycCbwg957ag,2023-12-08T16:23:45Z
